AIAAIC_ID,Headline,Occurred,Country_ies,Sector_s,Deployer_s,Technology_ies,Purpose_s,Issues,External_harms,Internal_impacts,Summary_links,kw_score,kw_emp_hits,kw_ben_hits,kw_pub_hits,kw_llm_hits
AIAAIC0524,Serbia Social Card excludes thousands of welfare beneficiaries,2022,Serbia,Govt - social services ,Serbia Ministry of Labour,,Allocate social benefits,Accuracy/reliability; Bias/discrimination; Fairness; Privacy/surveillance,Benefits loss; Discrimination,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/serbia-social-card-excludes-thousands-of-welfare-beneficiaries,8,1,3,4,0
AIAAIC1840,UK welfare fraud AI system criticised as biased and opaque,2024,UK,Govt - welfare,Department for Work and Pensions (DWP),Machine learning,Detect fraud,Bias/discrimination; Transparency,Discrimination,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-welfare-fraud-ai-system-criticised-as-biased-and-opaque,8,0,4,4,0
AIAAIC1509,US Veterans Affairs suicide prevention algorithm favours white men,2024,USA,Govt - welfare; Govt - military,US Department of Veterans Affairs,Machine learning,Prevent suicide,Accuracy/reliability; Bias/discrimination,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/virginia-suicide-prevention-algorithm-favours-white-men,8,0,4,4,0
AIAAIC1388,"UK robo review 'unfairly' targets Bulgarians, Poles for benefit fraud investigation",2021,UK,Govt - welfare,Department of Work and Pensions (DWP),Data matching algorithm; Machine learning,Detect fraud,Bias/discrimination; Fairness; Transparency,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/robo-review-unfairly-targets-bulgarians-for-benefit-fraud-investigation,8,0,4,4,0
AIAAIC0605,NDIS independent assessments ditched by Australian government,2021,Australia,Govt - welfare,National Disability Insurance Agency (NDIA),,Assess disability funding eligibility,Bias/discrimination; Dual use,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/ndis-independent-assessments-robo-planning,8,0,4,4,0
AIAAIC1648,"DWP Kickstart ""gateway"" firms with no trading history approved by algorithm",2021,UK,Govt - culture; Govt - employment,Department of Work and Pensions (DWP),Automated risk assessment,Assess public funds applications,Accuracy/reliability; Bias/discrimination,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-kickstart-gateway-firms-with-no-trading-history-approved-by-algorithm,8,2,3,3,0
AIAAIC0803,Trelleborg welfare management automation,,Sweden,Govt - welfare,Trelleborg Municipality,Robotic Process Automation (RPA),Optimise welfare payments,Safety; Employment - jobs; Privacy/surveillance,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/trelleborg-welfare-management-automation,7,2,1,4,0
AIAAIC1768,Inaccuracies reveal child protection worker used ChatGPT to draft court report,2023,Australia,Govt - welfare,"Department of Families, Fairness and Housing",Generative AI,Generate text,Confidentiality; Privacy/surveillance,Confidentiality loss; Privacy loss,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/inaccuracies-reveal-child-protection-worker-used-chatgpt-to-draft-report,7,1,1,4,1
AIAAIC1576,"DWP algorithm wrongly flags 200,000 people for possible fraud and error",2024,UK,Govt - welfare,Department of Work and Pensions (DWP),Rule-based algorithm,Detect fraud,Accuracy/reliability,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-algorithm-wrongly-flags-200000-people-for-possible-fraud,7,0,3,4,0
AIAAIC0411,Flawed' UK welfare algorithm 'pushes people into poverty',2020,UK,Govt - welfare,Department of Work and Pensions (DWP),,Calculate credit entitlements,Fairness; Accuracy/reliability,Loss of livelihood ,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/flawed-uk-welfare-algorithm-pushes-people-into-poverty,7,0,3,4,0
AIAAIC1288,Thomson Reuters Fraud Detect 'incorrectly' identifies fraud,2023,USA,Govt - welfare,California Employment Development Department; Iowa Workforce Development,Risk assessment algorithm; Machine learning,Detect and prevent fraud,Accountability; Accuracy/reliability; Human/civil rights,Financial loss; Privacy loss,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/thomson-reuters-fraud-detect-incorrectly-identifies-fraud,7,3,1,3,0
AIAAIC1311,Samagra Vedika system pilot deprives citizens of rations ,2016,India,Govt - welfare,Government of Telagana; Posidex Technologies,Machine learning,Determine welfare eligibility,Accuracy/reliability; Accountability; Human/civil rights; Transparency,Loss of benefits/entitlements,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/samagra-vedika-system-pilot-deprives-citizens-of-rations,7,0,4,3,0
AIAAIC053,Arkansas ARChoices Medicaid resource allocation system,,USA,Govt - welfare; Govt - health,Arkansas Department of Human Services (DHS); Center for Information Management,Resource allocation algorithm,Assess care resource requirements,"Accountability; Accuracy/reliability; Bias/discrimination - disability, age; Transparency",Care cuts; Financial loss; Health deterioration; Anxiety/distress,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/arkansas-dhs-archoices-rugs-algorithm,7,0,4,3,0
AIAAIC0268,PSZ Syriusz unemployment worker profiling,,Poland,Govt - employment,Publiczne Służby Zatrudnienia (PSZ),Prediction algorithm,Assess unemployed worker support needs,"Appropriateness/need; Bias/discrimination - age, gender, disability; Effectiveness/value; Fairness; Privacy/surveillance",Discrimination; Privacy loss,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/poland-psz-unemployment-scoring-algorithm,7,4,2,1,0
AIAAIC1481,Thai auntie unable to buy food after Poor Card facial recognition failure,2024,Thailand,Govt - welfare,Ministry of Social Development and Human Security,Facial recognition,Verify identity,Accuracy/reliability; Human/civil rights,Benefits/entitlements loss,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/thai-auntie-unable-to-buy-food-after-poor-card-facial-recognition-failure,6,0,3,3,0
AIAAIC007,Idaho Medicaid disability Resource Allocation Model,,USA,Govt - health; Govt - welfare,Idaho Department of Health and Welfare,Resource allocation algorithm,Assess care resource requirements,Accuracy/reliability; Fairness,Care cuts; Financial loss,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/idaho-medicaid-disability-resource-allocation,6,0,3,3,0
AIAAIC0415,Roermond 'Sensing Project' predictive policing pilot,2020,Netherlands,Govt - police,Roermond Municipal Council,Machine learning; Pattern recognition,Reduce crime; Profile ethnicity,Accuracy/reliability; Bias/discrimination; Privacy/surveillance,Discrimination,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/roermond-sensing-project-predictive-policing,5,1,0,4,0
AIAAIC0171,New Orleans predictive policing,2018,USA,Govt - municipal,New Orleans Police Department,Prediction algorithm,Predict criminals and victims,Privacy/surveillance,,,,5,1,0,4,0
AIAAIC0652,NYPD Domain Awareness System,,USA,Govt - police,New York Police Department (NYPD),Facial recognition,"Strengthen public safety, security","Privacy; Bias/discrimination - race, ethnicity; Dual/multi-use",,NGO campaign; Employee letter,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/nypd-domain-awareness-system,5,2,0,3,0
AIAAIC0260,Knightscope security robot ignores woman reporting crime,2019,USA,Govt - police,Huntington Park Police Department,Robotics,Strengthen security,Accuracy/reliability; Anthropomorphism; Employment,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/knightscope-hp-robocop-ignores-woman-reporting-crime,5,2,0,3,0
