record_id,title,dimension,method,manual_label,predicted_label,error_category,explanation,confidence,rationale
AIAAIC1872,Christopher Gatlin jailed for two years after faulty facial recognition match,rights,LLM_gold_file,NON_DISCRIMINATION;PRIVACY,OTHER,LLM_gold_rights_over_under,"LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY', 'NON_DISCRIMINATION'}.",0.9,"The summary does not provide any information related to employment or essential services, indicating no relevant classification."
AIAAIC1855,Taiwanese AI repeats Chinese government line,rights,LLM_gold_file,NON_DISCRIMINATION;PRIVACY,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY'}.,0.8,"The incident does not pertain to employment decisions or essential services, but raises concerns about potential bias and misinformation."
AIAAIC1855,Taiwanese AI repeats Chinese government line,rights,LLM_gold_file,NON_DISCRIMINATION;PRIVACY,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY'}.,0.8,"The incident does not pertain to employment decisions or essential services, but raises concerns about potential bias and misinformation."
AIAAIC1840,UK welfare fraud AI system criticised as biased and opaque,rights,LLM_gold_file,NON_DISCRIMINATION,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over,LLM_gold rights: over-predicted {'OTHER'}.,0.9,"The incident involves a welfare fraud AI system that affects eligibility for public assistance, classifying it under essential services. The bias and discrimination issues highlight concerns related t"
AIAAIC1840,UK welfare fraud AI system criticised as biased and opaque,rights,LLM_gold_file,NON_DISCRIMINATION,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over,LLM_gold rights: over-predicted {'OTHER'}.,0.9,"The incident involves a welfare fraud AI system that affects eligibility for public assistance, classifying it under essential services. The bias and discrimination issues highlight concerns related t"
AIAAIC1648,"DWP Kickstart ""gateway"" firms with no trading history approved by algorithm",rights,LLM_gold_file,NON_DISCRIMINATION;PRIVACY,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY'}.,0.85,"The incident involves algorithmic approval of firms for a government program, impacting employment opportunities, thus falling under employment classification. However, it does not pertain to essentia"
AIAAIC1648,"DWP Kickstart ""gateway"" firms with no trading history approved by algorithm",domain,keyword,employment,unknown,keyword_misses_employment,keyword labelled 'unknown' but manual found 'employment'.,,
AIAAIC1648,"DWP Kickstart ""gateway"" firms with no trading history approved by algorithm",domain,LLM_v2,employment,essential_services,LLM_v2_domain_swap,LLM_v2 labelled 'essential_services' but manual found 'employment' — domain boundary confusion.,,
AIAAIC1648,"DWP Kickstart ""gateway"" firms with no trading history approved by algorithm",domain,hybrid,employment,essential_services,hybrid_domain_swap,hybrid labelled 'essential_services' but manual found 'employment' — domain boundary confusion.,,
AIAAIC1647,"UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism",domain,LLM_gold_file,both,essential_services,LLM_gold_partial_match,LLM_gold labelled 'essential_services' but manual marked BOTH employment AND essential services.,0.8,"The incident involves algorithmic bias in funding allocation, which affects access to public services, qualifying it under essential services. However, it does not pertain to employment-related decisi"
AIAAIC1647,"UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism",rights,LLM_gold_file,NON_DISCRIMINATION,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over,LLM_gold rights: over-predicted {'OTHER'}.,0.8,"The incident involves algorithmic bias in funding allocation, which affects access to public services, qualifying it under essential services. However, it does not pertain to employment-related decisi"
AIAAIC1647,"UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism",domain,keyword,both,essential_services,keyword_partial_match,keyword labelled 'essential_services' but manual marked BOTH employment AND essential services.,,
AIAAIC1647,"UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism",domain,LLM_v2,both,essential_services,LLM_v2_partial_match,LLM_v2 labelled 'essential_services' but manual marked BOTH employment AND essential services.,,
AIAAIC1647,"UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism",domain,hybrid,both,essential_services,hybrid_partial_match,hybrid labelled 'essential_services' but manual marked BOTH employment AND essential services.,,
AIAAIC1642,Utah online dispute resolution system benefits lenders not litigants,domain,LLM_gold_file,essential_services,unknown,LLM_gold_misses_essential_services,LLM_gold labelled 'unknown' but manual found 'essential_services'.,0.8,"The incident relates to fairness in a dispute resolution system, impacting litigants and lenders, but does not involve employment or essential services."
AIAAIC1576,"DWP algorithm wrongly flags 200,000 people for possible fraud and error",rights,LLM_gold_file,NON_DISCRIMINATION,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over,LLM_gold rights: over-predicted {'OTHER'}.,0.9,"The incident involves an algorithm that incorrectly flags individuals for fraud, impacting their eligibility for public assistance, which falls under essential services. It does not pertain to employm"
AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,domain,LLM_gold_file,essential_services,unknown,LLM_gold_misses_essential_services,LLM_gold labelled 'unknown' but manual found 'essential_services'.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,rights,LLM_gold_file,PRIVACY,OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY'}.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,domain,LLM_gold_file,essential_services,unknown,LLM_gold_misses_essential_services,LLM_gold labelled 'unknown' but manual found 'essential_services'.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,rights,LLM_gold_file,PRIVACY,OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY'}.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,domain,LLM_gold_file,essential_services,unknown,LLM_gold_misses_essential_services,LLM_gold labelled 'unknown' but manual found 'essential_services'.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,rights,LLM_gold_file,PRIVACY,OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY'}.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,domain,LLM_gold_file,employment,unknown,LLM_gold_misses_employment,LLM_gold labelled 'unknown' but manual found 'employment'.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,rights,LLM_gold_file,PRIVACY,OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY'}.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,domain,LLM_gold_file,employment,unknown,LLM_gold_misses_employment,LLM_gold labelled 'unknown' but manual found 'employment'.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,rights,LLM_gold_file,PRIVACY,OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY'}.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,domain,LLM_gold_file,employment,unknown,LLM_gold_misses_employment,LLM_gold labelled 'unknown' but manual found 'employment'.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,rights,LLM_gold_file,PRIVACY,OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY'}.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,domain,LLM_gold_file,employment,essential_services,LLM_gold_domain_swap,LLM_gold labelled 'essential_services' but manual found 'employment' — domain boundary confusion.,0.8,"The incident involves a government report that likely affects public services, indicating relevance to essential services. However, it does not pertain to employment-related decisions."
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,rights,LLM_gold_file,OTHER,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over,LLM_gold rights: over-predicted {'NON_DISCRIMINATION'}.,0.8,"The incident involves a government report that likely affects public services, indicating relevance to essential services. However, it does not pertain to employment-related decisions."
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,domain,keyword,employment,unknown,keyword_misses_employment,keyword labelled 'unknown' but manual found 'employment'.,,
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,domain,LLM_v2,employment,unknown,LLM_v2_misses_employment,LLM_v2 labelled 'unknown' but manual found 'employment'.,,
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,domain,hybrid,employment,unknown,hybrid_misses_employment,hybrid labelled 'unknown' but manual found 'employment'.,,
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,domain,LLM_gold_file,employment,essential_services,LLM_gold_domain_swap,LLM_gold labelled 'essential_services' but manual found 'employment' — domain boundary confusion.,0.8,"The incident involves a government report that likely affects public services, indicating relevance to essential services. However, it does not pertain to employment-related decisions."
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,rights,LLM_gold_file,OTHER,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over,LLM_gold rights: over-predicted {'NON_DISCRIMINATION'}.,0.8,"The incident involves a government report that likely affects public services, indicating relevance to essential services. However, it does not pertain to employment-related decisions."
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,domain,keyword,employment,unknown,keyword_misses_employment,keyword labelled 'unknown' but manual found 'employment'.,,
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,domain,LLM_v2,employment,unknown,LLM_v2_misses_employment,LLM_v2 labelled 'unknown' but manual found 'employment'.,,
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,domain,hybrid,employment,unknown,hybrid_misses_employment,hybrid labelled 'unknown' but manual found 'employment'.,,
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,domain,LLM_gold_file,both,essential_services,LLM_gold_partial_match,LLM_gold labelled 'essential_services' but manual marked BOTH employment AND essential services.,0.9,"The incident involves cutting contracts related to Veterans Affairs, which pertains to essential services. It does not involve employment decisions directly."
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,rights,LLM_gold_file,NON_DISCRIMINATION,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over,LLM_gold rights: over-predicted {'OTHER'}.,0.9,"The incident involves cutting contracts related to Veterans Affairs, which pertains to essential services. It does not involve employment decisions directly."
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,domain,keyword,both,essential_services,keyword_partial_match,keyword labelled 'essential_services' but manual marked BOTH employment AND essential services.,,
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,domain,LLM_v2,both,essential_services,LLM_v2_partial_match,LLM_v2 labelled 'essential_services' but manual marked BOTH employment AND essential services.,,
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,domain,hybrid,both,essential_services,hybrid_partial_match,hybrid labelled 'essential_services' but manual marked BOTH employment AND essential services.,,
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,domain,LLM_gold_file,both,essential_services,LLM_gold_partial_match,LLM_gold labelled 'essential_services' but manual marked BOTH employment AND essential services.,0.9,"The incident involves cutting contracts related to Veterans Affairs, which pertains to essential services. It does not involve employment decisions directly."
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,rights,LLM_gold_file,NON_DISCRIMINATION,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over,LLM_gold rights: over-predicted {'OTHER'}.,0.9,"The incident involves cutting contracts related to Veterans Affairs, which pertains to essential services. It does not involve employment decisions directly."
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,domain,keyword,both,essential_services,keyword_partial_match,keyword labelled 'essential_services' but manual marked BOTH employment AND essential services.,,
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,domain,LLM_v2,both,essential_services,LLM_v2_partial_match,LLM_v2 labelled 'essential_services' but manual marked BOTH employment AND essential services.,,
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,domain,hybrid,both,essential_services,hybrid_partial_match,hybrid labelled 'essential_services' but manual marked BOTH employment AND essential services.,,
AIAAIC1935,White House appears to use AI to calculate tariff rates,domain,LLM_gold_file,both,unknown,LLM_gold_misses_both,LLM_gold labelled 'unknown' but manual found 'both'.,0.8,"The incident involves tariff calculations rather than employment decisions or essential services eligibility. However, it raises concerns about accountability and accuracy."
AIAAIC1935,White House appears to use AI to calculate tariff rates,rights,LLM_gold_file,OTHER,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over,LLM_gold rights: over-predicted {'NON_DISCRIMINATION'}.,0.8,"The incident involves tariff calculations rather than employment decisions or essential services eligibility. However, it raises concerns about accountability and accuracy."
AIAAIC1935,White House appears to use AI to calculate tariff rates,domain,keyword,both,employment,keyword_partial_match,keyword labelled 'employment' but manual marked BOTH employment AND essential services.,,
AIAAIC1935,White House appears to use AI to calculate tariff rates,domain,LLM_v2,both,unknown,LLM_v2_misses_both,LLM_v2 labelled 'unknown' but manual found 'both'.,,
AIAAIC1935,White House appears to use AI to calculate tariff rates,domain,hybrid,both,employment,hybrid_partial_match,hybrid labelled 'employment' but manual marked BOTH employment AND essential services.,,
AIAAIC1935,White House appears to use AI to calculate tariff rates,domain,LLM_gold_file,both,unknown,LLM_gold_misses_both,LLM_gold labelled 'unknown' but manual found 'both'.,0.8,"The incident involves tariff calculations rather than employment decisions or essential services eligibility. However, it raises concerns about accountability and accuracy."
AIAAIC1935,White House appears to use AI to calculate tariff rates,rights,LLM_gold_file,OTHER,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over,LLM_gold rights: over-predicted {'NON_DISCRIMINATION'}.,0.8,"The incident involves tariff calculations rather than employment decisions or essential services eligibility. However, it raises concerns about accountability and accuracy."
AIAAIC1935,White House appears to use AI to calculate tariff rates,domain,keyword,both,employment,keyword_partial_match,keyword labelled 'employment' but manual marked BOTH employment AND essential services.,,
AIAAIC1935,White House appears to use AI to calculate tariff rates,domain,LLM_v2,both,unknown,LLM_v2_misses_both,LLM_v2 labelled 'unknown' but manual found 'both'.,,
AIAAIC1935,White House appears to use AI to calculate tariff rates,domain,hybrid,both,employment,hybrid_partial_match,hybrid labelled 'employment' but manual marked BOTH employment AND essential services.,,
AIAAIC1872,Christopher Gatlin jailed for two years after faulty facial recognition match,domain,LLM_gold_file,essential_services,unknown,LLM_gold_misses_essential_services,LLM_gold labelled 'unknown' but manual found 'essential_services'.,0.9,"The summary does not provide any information related to employment or essential services, indicating no relevant classification."
AIAAIC1872,Christopher Gatlin jailed for two years after faulty facial recognition match,rights,LLM_gold_file,NON_DISCRIMINATION;PRIVACY,OTHER,LLM_gold_rights_over_under,"LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY', 'NON_DISCRIMINATION'}.",0.9,"The summary does not provide any information related to employment or essential services, indicating no relevant classification."
AIAAIC1872,Christopher Gatlin jailed for two years after faulty facial recognition match,domain,LLM_gold_file,essential_services,unknown,LLM_gold_misses_essential_services,LLM_gold labelled 'unknown' but manual found 'essential_services'.,0.9,"The summary does not provide any information related to employment or essential services, indicating no relevant classification."
AIAAIC1872,Christopher Gatlin jailed for two years after faulty facial recognition match,rights,LLM_gold_file,NON_DISCRIMINATION;PRIVACY,OTHER,LLM_gold_rights_over_under,"LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY', 'NON_DISCRIMINATION'}.",0.9,"The summary does not provide any information related to employment or essential services, indicating no relevant classification."
AIAAIC1855,Taiwanese AI repeats Chinese government line,rights,LLM_gold_file,OTHER,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over,LLM_gold rights: over-predicted {'NON_DISCRIMINATION'}.,0.8,"The incident does not pertain to employment decisions or essential services, but raises concerns about potential bias and misinformation."
AIAAIC1855,Taiwanese AI repeats Chinese government line,rights,LLM_gold_file,OTHER,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over,LLM_gold rights: over-predicted {'NON_DISCRIMINATION'}.,0.8,"The incident does not pertain to employment decisions or essential services, but raises concerns about potential bias and misinformation."
AIAAIC1840,UK welfare fraud AI system criticised as biased and opaque,rights,LLM_gold_file,NON_DISCRIMINATION;PRIVACY,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY'}.,0.9,"The incident involves a welfare fraud AI system that affects eligibility for public assistance, classifying it under essential services. The bias and discrimination issues highlight concerns related t"
