source,source_id,title,description,annex_domain,actor_role,system_pattern,rights,harms,notes,llm_v2_annex_domain,llm_v2_system_pattern,llm_v2_rights,llm_v2_harms,llm_v2_confidence,llm_v2_rationale,hybrid_v2_annex_domain,hybrid_v2_system_pattern
AIAAIC,AIAAIC0654,ID.me unemployment benefit facial recognition,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/id-me-facial-recognition-identity-verification Accuracy/reliability; Privacy; Security; Bias/discrimination - race, ethnicity  ID.me unemployment benefit facial recognition",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,essential_services,surveillance_monitor,privacy_data_protection;non_discrimination;access_social_protection,unfair_exclusion;privacy_breach;procedural_unfairness,0.9,"The facial recognition system was used to verify identities for unemployment benefits, impacting access to essential services. Issues with accuracy, bias, and privacy indicate surveillance monitoring concerns and potential discrimination.",essential_services,surveillance_monitor
AIAAIC,AIAAIC0410,Netherlands SyRI welfare fraud detection automation,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/syri-welfare-fraud-detection-automation Bias/discrimination - race, ethnicity, economic; Privacy; Scope creep/normalisation  Netherlands SyRI welfare fraud detection automation",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,privacy_data_protection;non_discrimination;access_social_protection,unfair_exclusion;privacy_breach,0.95,"SyRI used profiling to detect welfare fraud, impacting access to social protection and raising privacy concerns due to extensive data use. Bias in the system led to discrimination based on race and ethnicity.",essential_services,profiling_scoring
AIAAIC,AIAAIC1647,"UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism""","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-government-accused-of-covid-19-recovery-funding-cultural-elitism Accuracy/reliability; Bias/discrimination; Transparency  UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism""",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,resource_allocation,non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.85,"The system allocated COVID-19 recovery funds, impacting public assistance distribution. Allegations of 'cultural elitism' suggest bias in allocation, indicating issues with non-discrimination and transparency.",essential_services,resource_allocation
AIAAIC,AIAAIC0598,UK govt Spotlight fund application assessments,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-government-spotlight-algorithm Accuracy/reliability; Bias/discrimination - economic, political  UK govt Spotlight fund application assessments",unknown,deployer,unknown,non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,classification_triage,non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.9,"The Spotlight system was used to assess and triage fund applications, impacting eligibility for public assistance. Issues of bias and discrimination suggest problems with fairness and transparency in decision-making.",essential_services,classification_triage
AIAAIC,AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/doge-uses-faulty-ai-to-cut-veterans-affairs-contracts Accountability; Accuracy/reliability; Transparency  DOGE uses faulty AI to cut Veterans Affairs contracts,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration,misinformation_error;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,good_administration,unfair_exclusion;misinformation_error,0.85,"The AI system was used to evaluate and potentially terminate contracts related to Veterans Affairs, impacting essential services. The incident highlights issues with accuracy and transparency, indicating profiling/scoring errors leading to unfair exclusion.",essential_services,profiling_scoring
AIAAIC,AIAAIC0826,UK DWP sued for 'unfair' disability benefits fraud detection algorithm,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-disability-benefits-fraud-algorithm Accountability;  Bias/discrimination; Transparency  UK DWP sued for 'unfair' disability benefits fraud detection algorithm,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;good_administration;access_social_protection,unfair_exclusion;procedural_unfairness,0.9,"The DWP's algorithm assessed disability benefits fraud risk, impacting eligibility for essential services. The lawsuit indicates issues with bias, transparency, and fairness in the profiling/scoring process.",essential_services,profiling_scoring
AIAAIC,AIAAIC0412,Unemployment risk assessment,Unemployment risk assessment,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,other,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.85,"The system likely assesses individuals' risk of unemployment, impacting eligibility for benefits or assistance. Profiling/scoring is the most fitting pattern as it involves risk assessment of individuals.",essential_services,profiling_scoring
AIAAIC,AIAAIC0554,Netherlands childcare benefits fraud assessments automation,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/netherlands-childcare-benefits-fraud-automation Accuracy/reliability; Bias/discrimination - race, nationality; Privacy Anxiety/distress; Financial loss Netherlands childcare benefits fraud assessments automation",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;privacy_data_protection;access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.95,"The system automated fraud assessments for childcare benefits, affecting eligibility and access to social protection. It involved profiling/scoring that led to biased outcomes and privacy concerns, impacting individuals based on race and nationality.",essential_services,profiling_scoring
AIAAIC,AIAAIC0990,Rotterdam welfare fraud risk algorithm ,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/rotterdam-welfare-fraud-risk-algorithm Accuracy/reliability; Bias/discrimination - race, ethnicity, gender; Ethics/values; Oversight/review; Proportionality Reputational damage; Financial loss Rotterdam welfare fraud risk algorithm",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;privacy_data_protection;good_administration,unfair_exclusion;procedural_unfairness,0.95,"The Rotterdam welfare fraud risk algorithm used profiling to assess fraud risk, impacting eligibility for social benefits. Issues of bias and lack of oversight indicate discrimination and procedural unfairness.",essential_services,profiling_scoring
AIAAIC,AIAAIC015,Michigan MiDAS unemployment insurance fraud detection,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/michigan-midas-unemployment-insurance-fraud-detection Accuracy/reliability; Bias/discrimination - economic; Effectiveness/value; Fairness; Oversight/review; Ownership/accountability; Risk management Financial loss; Bankruptcy; House foreclosure; Anxiety/distress; Stereotyping; Financial loss; Reputational damage Michigan MiDAS unemployment insurance fraud detection,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,access_social_protection;non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.95,"MiDAS system was used to detect unemployment insurance fraud, impacting eligibility for essential services. It involved profiling/scoring that led to wrongful accusations, highlighting issues of fairness and lack of oversight.",essential_services,profiling_scoring
AIAAIC,AIAAIC0524,Serbia Social Card excludes thousands of welfare beneficiaries,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/serbia-social-card-excludes-thousands-of-welfare-beneficiaries Accuracy/reliability; Bias/discrimination; Fairness; Privacy/surveillance Benefits loss; Discrimination Serbia Social Card excludes thousands of welfare beneficiaries,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,essential_services,resource_allocation,access_social_protection;non_discrimination;privacy_data_protection,unfair_exclusion;procedural_unfairness,0.95,"The Social Card system in Serbia allocated welfare benefits and excluded beneficiaries, impacting access to essential services. It involved resource allocation and raised concerns about discrimination and privacy.",essential_services,resource_allocation
AIAAIC,AIAAIC1840,UK welfare fraud AI system criticised as biased and opaque,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-welfare-fraud-ai-system-criticised-as-biased-and-opaque Bias/discrimination; Transparency Discrimination UK welfare fraud AI system criticised as biased and opaque,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;good_administration;access_social_protection,unfair_exclusion;procedural_unfairness,0.9,"The AI system was used to detect welfare fraud, affecting eligibility for public assistance, thus fitting the essential services domain. It involved profiling/scoring, with criticisms of bias and lack of transparency indicating discrimination and procedural unfairness.",essential_services,profiling_scoring
AIAAIC,AIAAIC1509,US Veterans Affairs suicide prevention algorithm favours white men,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/virginia-suicide-prevention-algorithm-favours-white-men Accuracy/reliability; Bias/discrimination  US Veterans Affairs suicide prevention algorithm favours white men,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.9,"The algorithm was used to assess suicide risk among veterans, impacting access to mental health services. It exhibited bias by favouring white men, leading to unfair exclusion of other groups from necessary interventions.",essential_services,profiling_scoring
AIAAIC,AIAAIC1388,"UK robo review 'unfairly' targets Bulgarians, Poles for benefit fraud investigation","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/robo-review-unfairly-targets-bulgarians-for-benefit-fraud-investigation Bias/discrimination; Fairness; Transparency  UK robo review 'unfairly' targets Bulgarians, Poles for benefit fraud investigation",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;good_administration;access_social_protection,unfair_exclusion;procedural_unfairness,0.9,"The system targeted specific nationalities for benefit fraud investigation, affecting their access to social protection and demonstrating bias. It used profiling to assess fraud risk, lacking transparency and fairness.",essential_services,profiling_scoring
AIAAIC,AIAAIC0605,NDIS independent assessments ditched by Australian government,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/ndis-independent-assessments-robo-planning Bias/discrimination; Dual use  NDIS independent assessments ditched by Australian government,unknown,deployer,unknown,non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.9,"The NDIS independent assessments were used to evaluate eligibility for disability support, impacting access to essential services. The system was criticized for bias and lack of transparency, indicating profiling/scoring issues.",essential_services,profiling_scoring
AIAAIC,AIAAIC1648,"DWP Kickstart ""gateway"" firms with no trading history approved by algorithm","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-kickstart-gateway-firms-with-no-trading-history-approved-by-algorithm Accuracy/reliability; Bias/discrimination  DWP Kickstart ""gateway"" firms with no trading history approved by algorithm",unknown,deployer,unknown,non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,good_administration;non_discrimination,procedural_unfairness;misinformation_error,0.85,"The system used profiling/scoring to approve firms for the Kickstart scheme, impacting public assistance distribution. Issues with accuracy and bias suggest procedural unfairness and misinformation errors in decision-making.",essential_services,profiling_scoring
AIAAIC,AIAAIC0803,Trelleborg welfare management automation,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/trelleborg-welfare-management-automation Safety; Employment - jobs; Privacy/surveillance  Trelleborg welfare management automation,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,privacy_breach,Auto annotation v0.4 rule-based,essential_services,resource_allocation,access_social_protection;privacy_data_protection,unfair_exclusion;privacy_breach,0.85,"The system automates welfare management, impacting eligibility and distribution of benefits, thus fitting essential services. Resource allocation is the best fit as it involves distributing welfare resources, with privacy concerns due to data handling.",essential_services,resource_allocation
AIAAIC,AIAAIC1768,Inaccuracies reveal child protection worker used ChatGPT to draft court report,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/inaccuracies-reveal-child-protection-worker-used-chatgpt-to-draft-report Confidentiality; Privacy/surveillance Confidentiality loss; Privacy loss Inaccuracies reveal child protection worker used ChatGPT to draft court report,essential_services,deployer,llm_decision_support,access_social_protection;privacy_data_protection,privacy_breach;misinformation_error,Auto annotation v0.4 rule-based,essential_services,summary_assistant,privacy_data_protection;good_administration,misinformation_error;privacy_breach,0.9,"ChatGPT was used to draft a court report in a child protection case, impacting essential services. The use of generative AI for document drafting led to inaccuracies and potential privacy breaches.",essential_services,summary_assistant
AIAAIC,AIAAIC1576,"DWP algorithm wrongly flags 200,000 people for possible fraud and error","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-algorithm-wrongly-flags-200000-people-for-possible-fraud Accuracy/reliability  DWP algorithm wrongly flags 200,000 people for possible fraud and error",essential_services,deployer,unknown,access_social_protection;privacy_data_protection,misinformation_error,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,access_social_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,0.95,"The DWP algorithm assessed individuals for fraud, impacting their access to social benefits, fitting the essential services domain. It used profiling/scoring to flag potential fraud, leading to unfair exclusion and lack of due process.",essential_services,profiling_scoring
AIAAIC,AIAAIC0411,Flawed' UK welfare algorithm 'pushes people into poverty',https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/flawed-uk-welfare-algorithm-pushes-people-into-poverty Fairness; Accuracy/reliability Loss of livelihood  Flawed' UK welfare algorithm 'pushes people into poverty',essential_services,deployer,unknown,access_social_protection;privacy_data_protection,misinformation_error,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.9,"The algorithm affected eligibility for welfare benefits, impacting access to essential services. It likely used profiling to assess claims, leading to unfair exclusions and procedural issues due to lack of transparency and reliability.",essential_services,profiling_scoring
AIAAIC,AIAAIC1288,Thomson Reuters Fraud Detect 'incorrectly' identifies fraud,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/thomson-reuters-fraud-detect-incorrectly-identifies-fraud Accountability; Accuracy/reliability; Human/civil rights Financial loss; Privacy loss Thomson Reuters Fraud Detect 'incorrectly' identifies fraud,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration,privacy_breach;misinformation_error,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,good_administration;privacy_data_protection,unfair_exclusion;misinformation_error,0.9,"The system is used for fraud detection, impacting financial services and potentially affecting eligibility for benefits or services. It involves profiling/scoring, and the incorrect identification of fraud suggests issues with accuracy and reliability.",essential_services,profiling_scoring
AIAAIC,AIAAIC1311,Samagra Vedika system pilot deprives citizens of rations ,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/samagra-vedika-system-pilot-deprives-citizens-of-rations Accuracy/reliability; Accountability; Human/civil rights; Transparency Loss of benefits/entitlements Samagra Vedika system pilot deprives citizens of rations,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration,procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,resource_allocation,access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.9,"The system affected citizens' access to rations, a form of public assistance, by automating resource allocation. Issues with transparency and accountability indicate procedural unfairness and loss of entitlements.",essential_services,resource_allocation
AIAAIC,AIAAIC053,Arkansas ARChoices Medicaid resource allocation system,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/arkansas-dhs-archoices-rugs-algorithm Accountability; Accuracy/reliability; Bias/discrimination - disability, age; Transparency Care cuts; Financial loss; Health deterioration; Anxiety/distress Arkansas ARChoices Medicaid resource allocation system",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,resource_allocation,non_discrimination;access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.95,"The ARChoices system allocated Medicaid resources, affecting eligibility and access to essential services. Issues of bias against disability and age, along with lack of transparency, indicate discrimination and procedural unfairness.",essential_services,resource_allocation
