source,source_id,title,description,annex_domain,actor_role,system_pattern,rights,harms,notes,llm_v2_annex_domain,llm_v2_system_pattern,llm_v2_rights,llm_v2_harms,llm_v2_confidence,llm_v2_rationale,hybrid_v2_annex_domain,hybrid_v2_system_pattern,scenario_id,scenario_name
AIAAIC,AIAAIC015,Michigan MiDAS unemployment insurance fraud detection,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/michigan-midas-unemployment-insurance-fraud-detection Accuracy/reliability; Bias/discrimination - economic; Effectiveness/value; Fairness; Oversight/review; Ownership/accountability; Risk management Financial loss; Bankruptcy; House foreclosure; Anxiety/distress; Stereotyping; Financial loss; Reputational damage Michigan MiDAS unemployment insurance fraud detection,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,access_social_protection;non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.95,"MiDAS system was used to detect unemployment insurance fraud, impacting eligibility for essential services. It involved profiling/scoring that led to wrongful accusations, highlighting issues of fairness and lack of oversight.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC0524,Serbia Social Card excludes thousands of welfare beneficiaries,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/serbia-social-card-excludes-thousands-of-welfare-beneficiaries Accuracy/reliability; Bias/discrimination; Fairness; Privacy/surveillance Benefits loss; Discrimination Serbia Social Card excludes thousands of welfare beneficiaries,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,essential_services,resource_allocation,access_social_protection;non_discrimination;privacy_data_protection,unfair_exclusion;procedural_unfairness,0.95,"The Social Card system in Serbia allocated welfare benefits and excluded beneficiaries, impacting access to essential services. It involved resource allocation and raised concerns about discrimination and privacy.",essential_services,resource_allocation,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC1840,UK welfare fraud AI system criticised as biased and opaque,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-welfare-fraud-ai-system-criticised-as-biased-and-opaque Bias/discrimination; Transparency Discrimination UK welfare fraud AI system criticised as biased and opaque,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;good_administration;access_social_protection,unfair_exclusion;procedural_unfairness,0.9,"The AI system was used to detect welfare fraud, affecting eligibility for public assistance, thus fitting the essential services domain. It involved profiling/scoring, with criticisms of bias and lack of transparency indicating discrimination and procedural unfairness.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC1509,US Veterans Affairs suicide prevention algorithm favours white men,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/virginia-suicide-prevention-algorithm-favours-white-men Accuracy/reliability; Bias/discrimination  US Veterans Affairs suicide prevention algorithm favours white men,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.9,"The algorithm was used to assess suicide risk among veterans, impacting access to mental health services. It exhibited bias by favouring white men, leading to unfair exclusion of other groups from necessary interventions.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC1388,"UK robo review 'unfairly' targets Bulgarians, Poles for benefit fraud investigation","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/robo-review-unfairly-targets-bulgarians-for-benefit-fraud-investigation Bias/discrimination; Fairness; Transparency  UK robo review 'unfairly' targets Bulgarians, Poles for benefit fraud investigation",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;good_administration;access_social_protection,unfair_exclusion;procedural_unfairness,0.9,"The system targeted specific nationalities for benefit fraud investigation, affecting their access to social protection and demonstrating bias. It used profiling to assess fraud risk, lacking transparency and fairness.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC0605,NDIS independent assessments ditched by Australian government,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/ndis-independent-assessments-robo-planning Bias/discrimination; Dual use  NDIS independent assessments ditched by Australian government,unknown,deployer,unknown,non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.9,"The NDIS independent assessments were used to evaluate eligibility for disability support, impacting access to essential services. The system was criticized for bias and lack of transparency, indicating profiling/scoring issues.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC1648,"DWP Kickstart ""gateway"" firms with no trading history approved by algorithm","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-kickstart-gateway-firms-with-no-trading-history-approved-by-algorithm Accuracy/reliability; Bias/discrimination  DWP Kickstart ""gateway"" firms with no trading history approved by algorithm",unknown,deployer,unknown,non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,good_administration;non_discrimination,procedural_unfairness;misinformation_error,0.85,"The system used profiling/scoring to approve firms for the Kickstart scheme, impacting public assistance distribution. Issues with accuracy and bias suggest procedural unfairness and misinformation errors in decision-making.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC0803,Trelleborg welfare management automation,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/trelleborg-welfare-management-automation Safety; Employment - jobs; Privacy/surveillance  Trelleborg welfare management automation,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,privacy_breach,Auto annotation v0.4 rule-based,essential_services,resource_allocation,access_social_protection;privacy_data_protection,unfair_exclusion;privacy_breach,0.85,"The system automates welfare management, impacting eligibility and distribution of benefits, thus fitting essential services. Resource allocation is the best fit as it involves distributing welfare resources, with privacy concerns due to data handling.",essential_services,resource_allocation,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC1576,"DWP algorithm wrongly flags 200,000 people for possible fraud and error","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-algorithm-wrongly-flags-200000-people-for-possible-fraud Accuracy/reliability  DWP algorithm wrongly flags 200,000 people for possible fraud and error",essential_services,deployer,unknown,access_social_protection;privacy_data_protection,misinformation_error,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,access_social_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,0.95,"The DWP algorithm assessed individuals for fraud, impacting their access to social benefits, fitting the essential services domain. It used profiling/scoring to flag potential fraud, leading to unfair exclusion and lack of due process.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC0411,Flawed' UK welfare algorithm 'pushes people into poverty',https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/flawed-uk-welfare-algorithm-pushes-people-into-poverty Fairness; Accuracy/reliability Loss of livelihood  Flawed' UK welfare algorithm 'pushes people into poverty',essential_services,deployer,unknown,access_social_protection;privacy_data_protection,misinformation_error,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.9,"The algorithm affected eligibility for welfare benefits, impacting access to essential services. It likely used profiling to assess claims, leading to unfair exclusions and procedural issues due to lack of transparency and reliability.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC1288,Thomson Reuters Fraud Detect 'incorrectly' identifies fraud,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/thomson-reuters-fraud-detect-incorrectly-identifies-fraud Accountability; Accuracy/reliability; Human/civil rights Financial loss; Privacy loss Thomson Reuters Fraud Detect 'incorrectly' identifies fraud,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration,privacy_breach;misinformation_error,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,good_administration;privacy_data_protection,unfair_exclusion;misinformation_error,0.9,"The system is used for fraud detection, impacting financial services and potentially affecting eligibility for benefits or services. It involves profiling/scoring, and the incorrect identification of fraud suggests issues with accuracy and reliability.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC1311,Samagra Vedika system pilot deprives citizens of rations ,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/samagra-vedika-system-pilot-deprives-citizens-of-rations Accuracy/reliability; Accountability; Human/civil rights; Transparency Loss of benefits/entitlements Samagra Vedika system pilot deprives citizens of rations,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration,procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,resource_allocation,access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.9,"The system affected citizens' access to rations, a form of public assistance, by automating resource allocation. Issues with transparency and accountability indicate procedural unfairness and loss of entitlements.",essential_services,resource_allocation,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC053,Arkansas ARChoices Medicaid resource allocation system,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/arkansas-dhs-archoices-rugs-algorithm Accountability; Accuracy/reliability; Bias/discrimination - disability, age; Transparency Care cuts; Financial loss; Health deterioration; Anxiety/distress Arkansas ARChoices Medicaid resource allocation system",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,resource_allocation,non_discrimination;access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.95,"The ARChoices system allocated Medicaid resources, affecting eligibility and access to essential services. Issues of bias against disability and age, along with lack of transparency, indicate discrimination and procedural unfairness.",essential_services,resource_allocation,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC0268,PSZ Syriusz unemployment worker profiling,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/poland-psz-unemployment-scoring-algorithm Appropriateness/need; Bias/discrimination - age, gender, disability; Effectiveness/value; Fairness; Privacy/surveillance Discrimination; Privacy loss PSZ Syriusz unemployment worker profiling",essential_services,deployer,llm_assisted_screening,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;privacy_data_protection;good_administration,unfair_exclusion;privacy_breach;procedural_unfairness,0.9,"The PSZ Syriusz system profiled unemployed workers, affecting their access to services and potentially leading to discrimination based on age, gender, and disability. It involved privacy concerns and lacked transparency, impacting fair administration.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC007,Idaho Medicaid disability Resource Allocation Model,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/idaho-medicaid-disability-resource-allocation Accuracy/reliability; Fairness Care cuts; Financial loss Idaho Medicaid disability Resource Allocation Model,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,other,Auto annotation v0.4 rule-based,essential_services,resource_allocation,access_social_protection;non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.9,"The system allocated Medicaid resources for disability services, impacting eligibility and care levels, thus affecting access to essential services. Issues with fairness and care cuts suggest procedural unfairness and potential discrimination.",essential_services,resource_allocation,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC0171,New Orleans predictive policing,Privacy/surveillance  New Orleans predictive policing,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,privacy_breach,Auto annotation v0.4 rule-based,unknown,profiling_scoring,privacy_data_protection,privacy_breach,0.85,"The system used predictive analytics to profile individuals for policing purposes, indicating a profiling_scoring pattern. Privacy concerns are evident due to surveillance implications, but the annex domain is unclear without more context on the specific use case.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC1352,lllinois ends 'unreliable' child abuse predictive system,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/lllinois-ends-unreliable-child-abuse-predictive-system Accuracy/reliability; Transparency Physical harm lllinois ends 'unreliable' child abuse predictive system,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration,misinformation_error;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,good_administration,misinformation_error;procedural_unfairness,0.9,"The system was used to predict child abuse risk, impacting child protection decisions under Annex III(5a). It involved profiling/scoring, and issues with accuracy and transparency led to procedural unfairness and misinformation errors.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC0887,Oregon drops 'unfair' child abuse Safety at Screening tool,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/oregon-dhs-safety-at-screening-tool Accuracy/reliability; Bias/discrimination; Transparency  Oregon drops 'unfair' child abuse Safety at Screening tool,essential_services,deployer,llm_assisted_screening,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,classification_triage,non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.9,"The tool was used to classify and triage child abuse cases, impacting decisions on child protection services. It was dropped due to issues with bias and lack of transparency, indicating procedural unfairness and discrimination concerns.",essential_services,classification_triage,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC0350,"Australia scraps ""robodebt"" welfare debt recovery scheme","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/australia-scraps-robodebt-welfare-debt-recovery-scheme Accuracy/reliability; Fairness; Privacy/surveillance Financial loss; Bankruptcy; House foreclosure; Anxiety/distress; Loss of life; Reputational damage Australia scraps ""robodebt"" welfare debt recovery scheme",essential_services,deployer,unknown,access_social_protection;privacy_data_protection,privacy_breach,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,access_social_protection;non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.95,"The 'robodebt' scheme used automated profiling to assess and recover welfare debts, impacting individuals' access to social protection. It led to unfair exclusions and procedural unfairness due to inaccurate debt calculations and lack of proper oversight.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC0107,Australia Robodebt welfare debt recovery,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/robodebt-welfare-debt-recovery Accuracy/reliability; Fairness; Privacy Financial loss; Bankruptcy; House foreclosure; Anxiety/distress; Loss of life; Reputational damage Australia Robodebt welfare debt recovery,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,privacy_breach,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,access_social_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,0.95,"Robodebt used automated profiling to assess and recover alleged welfare overpayments, impacting access to social protection. The system's lack of accuracy and fairness led to procedural unfairness and financial harm to individuals.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC1642,Utah online dispute resolution system benefits lenders not litigants,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/utah-dispute-resolution-system-benefits-lenders-not-litigants Fairness  Utah online dispute resolution system benefits lenders not litigants,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,other,Auto annotation v0.4 rule-based,unknown,classification_triage,good_administration,procedural_unfairness,0.8,"The system appears to classify and triage disputes, potentially favouring lenders over litigants, indicating procedural unfairness. However, the specific domain under Annex III is unclear from the description provided.",essential_services,classification_triage,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC1313,Parivar Pehchan Patra algorithm declares living people dead,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/parivar-pehchan-patra-declares-living-people-dead Accountability; Accuracy/reliability; Human/civil rights; Privacy/surveillance Financial loss; Privacy loss Parivar Pehchan Patra algorithm declares living people dead,unknown,deployer,unknown,good_administration,privacy_breach,Auto annotation v0.4 rule-based,essential_services,classification_triage,good_administration;privacy_data_protection,unfair_exclusion;misinformation_error,0.9,"The system misclassified living individuals as deceased, impacting their access to services and benefits. This classification error highlights issues with accuracy and reliability, leading to misinformation and procedural unfairness.",essential_services,classification_triage,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC1970,"Sweden fraud prediction algorithm found to discriminate against women, migrants","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/sweden-fraud-prediction-algorithm-found-to-discriminate-against-women Accountability; Bias/discrimination; Privacy/surveillance; Transparency  Sweden fraud prediction algorithm found to discriminate against women, migrants",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;privacy_breach;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;privacy_data_protection;good_administration,unfair_exclusion;procedural_unfairness,0.9,"The fraud prediction algorithm was used to assess eligibility for benefits, impacting essential services. It discriminated against women and migrants, indicating issues with profiling/scoring and non-discrimination rights.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC057,LAPD predictive policing,Accuracy/reliability; Effectiveness/value; Bias/discrimination  LAPD predictive policing,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.9,"The LAPD's predictive policing system uses profiling to assess crime risk, impacting law enforcement resource allocation. Issues of bias and discrimination suggest non-discrimination rights concerns, while lack of transparency indicates procedural unfairness.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC056,LAPD 'hot spot' predictive policing,Accuracy/reliability; Bias/discrimination  LAPD 'hot spot' predictive policing,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.9,"The LAPD's predictive policing system used profiling to identify crime 'hot spots,' impacting public safety services. Issues of bias and discrimination suggest profiling/scoring, with rights and harms related to fairness and transparency.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
