source,source_id,title,description,annex_domain,actor_role,system_pattern,rights,harms,notes,llm_v2_annex_domain,llm_v2_system_pattern,llm_v2_rights,llm_v2_harms,llm_v2_confidence,llm_v2_rationale,hybrid_v2_annex_domain,hybrid_v2_system_pattern,root_cause,mitigation_reported,source_type
AIAAIC,AIAAIC0654,ID.me unemployment benefit facial recognition,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/id-me-facial-recognition-identity-verification Accuracy/reliability; Privacy; Security; Bias/discrimination - race, ethnicity  ID.me unemployment benefit facial recognition",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,essential_services,surveillance_monitor,privacy_data_protection;non_discrimination;access_social_protection,unfair_exclusion;privacy_breach,0.9,"System uses facial recognition biometric monitoring to verify identity for unemployment benefit access, affecting eligibility for public assistance. The surveillance/monitoring pattern fits as it uses biometric identification technology with documented bias issues.",essential_services,surveillance_monitor,unknown,none_reported,news_article
AIAAIC,AIAAIC0410,Netherlands SyRI welfare fraud detection automation,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/syri-welfare-fraud-detection-automation Bias/discrimination - race, ethnicity, economic; Privacy; Scope creep/normalisation  Netherlands SyRI welfare fraud detection automation",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,privacy_data_protection;non_discrimination;access_social_protection;good_administration,unfair_exclusion;privacy_breach;procedural_unfairness,0.95,"SyRI profiled citizens using government data to detect welfare fraud, directly impacting access to social protection with documented racial/ethnic bias. The system created risk scores for benefit recipients while raising significant privacy and discrimination concerns.",essential_services,profiling_scoring,context_of_use,none_reported,news_article
AIAAIC,AIAAIC1647,"UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism""","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-government-accused-of-covid-19-recovery-funding-cultural-elitism Accuracy/reliability; Bias/discrimination; Transparency  UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism""",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.85,"System allocated COVID-19 recovery funding using algorithmic assessment, affecting access to public assistance during crisis. The cultural elitism accusation suggests discriminatory profiling/scoring against certain groups or cultural organizations.",essential_services,profiling_scoring,unknown,none_reported,news_article
AIAAIC,AIAAIC0598,UK govt Spotlight fund application assessments,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-government-spotlight-algorithm Accuracy/reliability; Bias/discrimination - economic, political  UK govt Spotlight fund application assessments",unknown,deployer,unknown,non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.85,"System assessed applications for government funding, which constitutes evaluation of eligibility for public assistance under Annex III(5a). The profiling/scoring pattern fits as it evaluated and ranked funding applications algorithmically.",essential_services,profiling_scoring,unknown,none_reported,news_article
AIAAIC,AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/doge-uses-faulty-ai-to-cut-veterans-affairs-contracts Accountability; Accuracy/reliability; Transparency  DOGE uses faulty AI to cut Veterans Affairs contracts,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration,misinformation_error;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.85,"System appears to evaluate Veterans Affairs contracts/services, potentially affecting veterans' access to public services and benefits. The AI system likely scored or assessed contracts for termination, impacting service delivery to veterans.",essential_services,profiling_scoring,technology_failure,none_reported,news_article
AIAAIC,AIAAIC0826,UK DWP sued for 'unfair' disability benefits fraud detection algorithm,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-disability-benefits-fraud-algorithm Accountability;  Bias/discrimination; Transparency  UK DWP sued for 'unfair' disability benefits fraud detection algorithm,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.9,"System assessed disability benefit fraud risk, directly affecting eligibility for public assistance under Annex III(5a). The algorithm created risk profiles/scores to detect potential fraud among disability benefit claimants.",essential_services,profiling_scoring,context_of_use,none_reported,news_article
AIAAIC,AIAAIC0412,Unemployment risk assessment,Unemployment risk assessment,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,other,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,access_social_protection;good_administration,other,0.7,System assesses unemployment risk which likely relates to benefit eligibility or social services access. The profiling/scoring pattern fits as it creates risk assessments about individuals' unemployment status.,essential_services,profiling_scoring,unknown,none_reported,news_article
AIAAIC,AIAAIC0554,Netherlands childcare benefits fraud assessments automation,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/netherlands-childcare-benefits-fraud-automation Accuracy/reliability; Bias/discrimination - race, nationality; Privacy Anxiety/distress; Financial loss Netherlands childcare benefits fraud assessments automation",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;privacy_data_protection;access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.9,"System automated fraud detection for childcare benefits, affecting eligibility for public assistance under Annex III(5a). The profiling/scoring pattern fits as it assessed fraud risk, with documented racial bias and wrongful benefit denials.",essential_services,profiling_scoring,technology_failure,none_reported,news_article
AIAAIC,AIAAIC0990,Rotterdam welfare fraud risk algorithm ,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/rotterdam-welfare-fraud-risk-algorithm Accuracy/reliability; Bias/discrimination - race, ethnicity, gender; Ethics/values; Oversight/review; Proportionality Reputational damage; Financial loss Rotterdam welfare fraud risk algorithm",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;privacy_data_protection;access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.9,"Algorithm assessed welfare fraud risk, affecting eligibility for public benefits under Annex III(5a). The system created risk profiles with documented bias issues and lack of proper oversight mechanisms.",essential_services,profiling_scoring,unknown,none_reported,news_article
AIAAIC,AIAAIC015,Michigan MiDAS unemployment insurance fraud detection,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/michigan-midas-unemployment-insurance-fraud-detection Accuracy/reliability; Bias/discrimination - economic; Effectiveness/value; Fairness; Oversight/review; Ownership/accountability; Risk management Financial loss; Bankruptcy; House foreclosure; Anxiety/distress; Stereotyping; Financial loss; Reputational damage Michigan MiDAS unemployment insurance fraud detection,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,access_social_protection;non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.95,"MiDAS evaluated eligibility for unemployment benefits and flagged claimants as fraudulent, directly affecting access to social protection under Annex III(5a). The system used algorithmic profiling/scoring to assess fraud risk among benefit recipients.",essential_services,profiling_scoring,technology_failure,none_reported,news_article
AIAAIC,AIAAIC0524,Serbia Social Card excludes thousands of welfare beneficiaries,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/serbia-social-card-excludes-thousands-of-welfare-beneficiaries Accuracy/reliability; Bias/discrimination; Fairness; Privacy/surveillance Benefits loss; Discrimination Serbia Social Card excludes thousands of welfare beneficiaries,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,essential_services,classification_triage,access_social_protection;non_discrimination;privacy_data_protection,unfair_exclusion,0.85,"System classified/categorized welfare beneficiaries for Social Card eligibility, affecting access to public benefits under Annex III(5a). The classification pattern fits best as it determines who qualifies for welfare services.",essential_services,classification_triage,unknown,none_reported,news_article
AIAAIC,AIAAIC1840,UK welfare fraud AI system criticised as biased and opaque,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-welfare-fraud-ai-system-criticised-as-biased-and-opaque Bias/discrimination; Transparency Discrimination UK welfare fraud AI system criticised as biased and opaque,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;good_administration;access_social_protection,unfair_exclusion;procedural_unfairness,0.9,"System detects welfare fraud affecting benefit eligibility, falling under Annex III(5a) public assistance evaluation. The profiling/scoring pattern fits as it assesses fraud risk, with documented bias and opacity issues.",essential_services,profiling_scoring,data_quality,none_reported,news_article
AIAAIC,AIAAIC1509,US Veterans Affairs suicide prevention algorithm favours white men,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/virginia-suicide-prevention-algorithm-favours-white-men Accuracy/reliability; Bias/discrimination  US Veterans Affairs suicide prevention algorithm favours white men,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;access_social_protection,unfair_exclusion,0.9,"System assesses suicide risk for veterans to allocate mental health resources, constituting public service delivery under Annex III(5a). The algorithmic bias against non-white veterans creates discriminatory access to essential healthcare services.",essential_services,profiling_scoring,data_quality,none_reported,news_article
AIAAIC,AIAAIC1388,"UK robo review 'unfairly' targets Bulgarians, Poles for benefit fraud investigation","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/robo-review-unfairly-targets-bulgarians-for-benefit-fraud-investigation Bias/discrimination; Fairness; Transparency  UK robo review 'unfairly' targets Bulgarians, Poles for benefit fraud investigation",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.95,"System profiles benefit recipients to detect fraud, affecting access to social protection services. Clear evidence of discriminatory targeting based on nationality, creating unfair exclusion from benefits.",essential_services,profiling_scoring,data_quality,none_reported,news_article
AIAAIC,AIAAIC0605,NDIS independent assessments ditched by Australian government,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/ndis-independent-assessments-robo-planning Bias/discrimination; Dual use  NDIS independent assessments ditched by Australian government,unknown,deployer,unknown,non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.85,"NDIS assessments determine eligibility for disability support services, falling under public benefit evaluation. The system appears to use algorithmic profiling/scoring to assess disability support needs, with documented bias concerns leading to its abandonment.",essential_services,profiling_scoring,unknown,NDIS independent assessments ditched by government,news_article
AIAAIC,AIAAIC1648,"DWP Kickstart ""gateway"" firms with no trading history approved by algorithm","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-kickstart-gateway-firms-with-no-trading-history-approved-by-algorithm Accuracy/reliability; Bias/discrimination  DWP Kickstart ""gateway"" firms with no trading history approved by algorithm",unknown,deployer,unknown,non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,classification_triage,good_administration;access_social_protection,procedural_unfairness,0.85,"The system classified and approved gateway firms for the Kickstart employment scheme, affecting access to public employment services. The algorithmic approval process lacked proper verification, leading to procedural unfairness in program administration.",essential_services,classification_triage,technology_failure,none_reported,news_article
AIAAIC,AIAAIC0803,Trelleborg welfare management automation,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/trelleborg-welfare-management-automation Safety; Employment - jobs; Privacy/surveillance  Trelleborg welfare management automation,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,privacy_breach,Auto annotation v0.4 rule-based,essential_services,unknown,access_social_protection;privacy_data_protection,other,0.6,"The system appears to involve welfare management which affects access to social protection services. However, the description lacks sufficient detail to determine the specific system pattern or concrete harms that occurred.",essential_services,unknown,unknown,none_reported,news_article
AIAAIC,AIAAIC1768,Inaccuracies reveal child protection worker used ChatGPT to draft court report,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/inaccuracies-reveal-child-protection-worker-used-chatgpt-to-draft-report Confidentiality; Privacy/surveillance Confidentiality loss; Privacy loss Inaccuracies reveal child protection worker used ChatGPT to draft court report,essential_services,deployer,llm_decision_support,access_social_protection;privacy_data_protection,privacy_breach;misinformation_error,Auto annotation v0.4 rule-based,essential_services,summary_assistant,privacy_data_protection;good_administration,misinformation_error;procedural_unfairness,0.9,"Child protection worker used ChatGPT to draft court reports affecting child welfare decisions, which falls under public authority evaluation of services. The system generated document summaries/reports but produced inaccuracies that could impact critical decisions.",essential_services,summary_assistant,human_error,none_reported,news_article
AIAAIC,AIAAIC1576,"DWP algorithm wrongly flags 200,000 people for possible fraud and error","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-algorithm-wrongly-flags-200000-people-for-possible-fraud Accuracy/reliability  DWP algorithm wrongly flags 200,000 people for possible fraud and error",essential_services,deployer,unknown,access_social_protection;privacy_data_protection,misinformation_error,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,access_social_protection;non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.9,"DWP (Department for Work and Pensions) algorithm flagged benefit recipients for fraud investigation, affecting access to social protection services. The system uses profiling/scoring to assess fraud risk among welfare claimants.",essential_services,profiling_scoring,technology_failure,none_reported,news_article
AIAAIC,AIAAIC0411,Flawed' UK welfare algorithm 'pushes people into poverty',https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/flawed-uk-welfare-algorithm-pushes-people-into-poverty Fairness; Accuracy/reliability Loss of livelihood  Flawed' UK welfare algorithm 'pushes people into poverty',essential_services,deployer,unknown,access_social_protection;privacy_data_protection,misinformation_error,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,access_social_protection;non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.9,"UK welfare algorithm evaluates benefit eligibility and pushes people into poverty, directly affecting access to social protection services. The system appears to use algorithmic profiling/scoring to assess welfare claims with documented fairness and accuracy issues.",essential_services,profiling_scoring,technology_failure,none_reported,news_article
AIAAIC,AIAAIC1288,Thomson Reuters Fraud Detect 'incorrectly' identifies fraud,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/thomson-reuters-fraud-detect-incorrectly-identifies-fraud Accountability; Accuracy/reliability; Human/civil rights Financial loss; Privacy loss Thomson Reuters Fraud Detect 'incorrectly' identifies fraud,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration,privacy_breach;misinformation_error,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.85,Thomson Reuters Fraud Detect appears to be a risk scoring system that incorrectly flagged transactions or individuals as fraudulent. This likely impacts access to financial services and involves algorithmic profiling with accuracy issues.,essential_services,profiling_scoring,technology_failure,none_reported,news_article
AIAAIC,AIAAIC1311,Samagra Vedika system pilot deprives citizens of rations ,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/samagra-vedika-system-pilot-deprives-citizens-of-rations Accuracy/reliability; Accountability; Human/civil rights; Transparency Loss of benefits/entitlements Samagra Vedika system pilot deprives citizens of rations,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration,procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,classification_triage,access_social_protection;good_administration,unfair_exclusion,0.85,"System appears to classify or determine eligibility for food rations (public benefits), affecting citizens' access to essential services. The classification/triage pattern fits as it categorizes beneficiaries for resource distribution.",essential_services,classification_triage,technology_failure,none_reported,news_article
