title,annex_domain,llm_annex_domain,description
UK Post Office Horizon payment system,employment,unknown,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-post-office-scandal Accuracy/reliability; Ethics/values; Employment - jobs, pay  UK Post Office Horizon payment system"
NYPD ends Knightscope K5 security robot trial,unknown,essential_services,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/nypd-ends-knightscope-k5-security-robot-trial Privacy/surveillance Privacy loss NYPD ends Knightscope K5 security robot trial
Malta ditches 'Safe City' video surveillance programme,unknown,essential_services,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/malta-safe-city-video-surveillance Alignment; Privacy/surveillance; Transparency  Malta ditches 'Safe City' video surveillance programme
NYPD 'digidog' hostage response draws complaints,unknown,essential_services,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/nypd-digidog Bias/discrimination; Dual use; Privacy/surveillance  NYPD 'digidog' hostage response draws complaints
Rikers Island prisoner risk classification system increases violence,unknown,essential_services,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/rikers-island-prisoner-risk-classification-system-increases-violence-50 Accuracy/reliability  Rikers Island prisoner risk classification system increases violence
Suzhou algorithmic social 'civility score' withdrawn after backlash,unknown,essential_services,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/suzhou-social-civility-score-trial Fairness; Privacy/surveillance  Suzhou algorithmic social 'civility score' withdrawn after backlash
Deloitte Australia fined for AI error-strewn government report,unknown,essential_services,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/deloitte-australia-fined-for-ai-error-strewn-government-report Accuracy/reliability; Mis/disinformation; Transparency  Deloitte Australia fined for AI error-strewn government report
White House chief of staff targeted in AI-powered security breach,employment,unknown,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/white-house-chief-of-staff-targeted-in-ai-powered-security-breach Confidentiality; Privacy/surveillance; Security Privacy loss White House chief of staff targeted in AI-powered security breach
White House appears to use AI to calculate tariff rates,employment,unknown,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/white-house-appears-to-use-ai-to-calculate-tariff-rates Accountability; Accuracy/reliability; Employment; Transparency  White House appears to use AI to calculate tariff rates
"Report: Denmark AI welfare system ""profoundly affects"" mental health",essential_services,unknown,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/report-denmark-ai-welfare-system-profoundly-affects-mental-health Accuracy/reliability; Bias/discrimination; Privacy/surveillance  Report: Denmark AI welfare system ""profoundly affects"" mental health"
CASE OF HALMAGIU AND BELLU v. ROMANIA,essential_services,unknown,Case: CASE OF HALMAGIU AND BELLU v. ROMANIA; Articles: P1; Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property; Keywords: discrimination; social benefits
CASE OF TETU v. ROMANIA,essential_services,unknown,Case: CASE OF TETU v. ROMANIA; Articles: P1; Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property; Keywords: discrimination; social benefits
CASE OF SOCIEDADE AGRICOLA DO AMEIXIAL; S.A v. PORTUGAL,essential_services,unknown,Case: CASE OF SOCIEDADE AGRICOLA DO AMEIXIAL; S.A v. PORTUGAL; Articles: P1; Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions); Keywords: discrimination; social benefits
CASE OF SERSESCU v. ROMANIA,essential_services,unknown,Case: CASE OF SERSESCU v. ROMANIA; Articles: P1; Conclusion: Violation of Article 6 - Right to a fair trial;Violation of Article 1 of Protocol No. 1 - Protection of property; Keywords: discrimination; social benefits
CASE OF MOSOIU AND PASARIN v. ROMANIA,essential_services,unknown,Case: CASE OF MOSOIU AND PASARIN v. ROMANIA; Articles: P1; Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property; Keywords: discrimination; social benefits
CASE OF ALİ TAŞ v. TURKEY,essential_services,unknown,Case: CASE OF ALİ TAŞ v. TURKEY; Articles: P1; Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property; Keywords: discrimination; social benefits
CASE OF ANDRIANOVA AND OTHERS  v. UKRAINE,essential_services,unknown,Case: CASE OF ANDRIANOVA AND OTHERS  v. UKRAINE; Articles: P1; Conclusion: Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions);Violation of Article 13 - Right to an effective remedy (Article 13 - Effective remedy); Keywords: discrimination; social benefits
CASE OF DICKMANN AND GION v. ROMANIA,essential_services,unknown,Case: CASE OF DICKMANN AND GION v. ROMANIA; Articles: P1; Conclusion: Preliminary objection dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Deprivation of property;Peaceful enjoyment of possessions);Pecuniary and non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Pecuniary damage;Just satisfaction); Keywords: discrimination; social benefits
CASE OF MIGALSKA v. POLAND,essential_services,unknown,Case: CASE OF MIGALSKA v. POLAND; Articles: P1; Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions); Keywords: discrimination; social benefits
CASE OF PICHKUR v. UKRAINE,essential_services,unknown,Case: CASE OF PICHKUR v. UKRAINE; Articles: 14; Conclusion: Preliminary objection dismissed (Article 35-1 - Six month period);Remainder inadmissible;Violation of Article 14+P1-1 - Prohibition of discrimination (Article 14 - Discrimination) (Article 1 of Protocol No. 1 - Protection of property;Article 1 para. 1 of Protocol No. 1 - Possessions);Pecuniary and non-pecuniary damage - award; Keywords: discrimination; social benefits
CASE OF VACARENCU v. MOLDOVA,essential_services,unknown,Case: CASE OF VACARENCU v. MOLDOVA; Articles: P1; Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property;Violation of Article 6 - Right to a fair trial; Keywords: discrimination; social benefits
CASE OF GIGLI COSTRUZIONI S.R.L. v. ITALY,essential_services,unknown,Case: CASE OF GIGLI COSTRUZIONI S.R.L. v. ITALY; Articles: P1; Conclusion: Violation of Article 6 - Right to a fair trial;Violation of Article 1 of Protocol No. 1 - Protection of property; Keywords: discrimination; social benefits
CASE OF PAULIK v. SLOVAKIA,essential_services,unknown,Case: CASE OF PAULIK v. SLOVAKIA; Articles: 14; Conclusion: Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life);Violation of Article 14+8 - Prohibition of discrimination (Article 14 - Discrimination) (Article 8 - Right to respect for private and family life;Article 8-1 - Respect for private life);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction); Keywords: discrimination; social benefits
