source,source_id,title,description,annex_domain,actor_role,system_pattern,rights,harms,notes,llm_annex_domain,llm_system_pattern,llm_rights,llm_harms
AIAAIC,AIAAIC0524,Serbia Social Card excludes thousands of welfare beneficiaries,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/serbia-social-card-excludes-thousands-of-welfare-beneficiaries Accuracy/reliability; Bias/discrimination; Fairness; Privacy/surveillance Benefits loss; Discrimination Serbia Social Card excludes thousands of welfare beneficiaries,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,essential_services,unknown,non_discrimination;privacy_data_protection;access_social_protection;good_administration,unfair_exclusion;privacy_breach;misinformation_error;procedural_unfairness
AIAAIC,AIAAIC1840,UK welfare fraud AI system criticised as biased and opaque,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-welfare-fraud-ai-system-criticised-as-biased-and-opaque Bias/discrimination; Transparency Discrimination UK welfare fraud AI system criticised as biased and opaque,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,not_llm,non_discrimination;access_social_protection;good_administration,unfair_exclusion;procedural_unfairness
AIAAIC,AIAAIC1509,US Veterans Affairs suicide prevention algorithm favours white men,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/virginia-suicide-prevention-algorithm-favours-white-men Accuracy/reliability; Bias/discrimination  US Veterans Affairs suicide prevention algorithm favours white men,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,not_llm,non_discrimination;access_social_protection;good_administration,unfair_exclusion;misinformation_error
AIAAIC,AIAAIC1388,"UK robo review 'unfairly' targets Bulgarians, Poles for benefit fraud investigation","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/robo-review-unfairly-targets-bulgarians-for-benefit-fraud-investigation Bias/discrimination; Fairness; Transparency  UK robo review 'unfairly' targets Bulgarians, Poles for benefit fraud investigation",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,not_llm,non_discrimination;access_social_protection;good_administration,unfair_exclusion;procedural_unfairness
AIAAIC,AIAAIC0605,NDIS independent assessments ditched by Australian government,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/ndis-independent-assessments-robo-planning Bias/discrimination; Dual use  NDIS independent assessments ditched by Australian government,unknown,deployer,unknown,non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,unknown,non_discrimination;access_social_protection;good_administration,unfair_exclusion
AIAAIC,AIAAIC1648,"DWP Kickstart ""gateway"" firms with no trading history approved by algorithm","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-kickstart-gateway-firms-with-no-trading-history-approved-by-algorithm Accuracy/reliability; Bias/discrimination  DWP Kickstart ""gateway"" firms with no trading history approved by algorithm",unknown,deployer,unknown,non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,not_llm,access_social_protection;good_administration;non_discrimination,misinformation_error;unfair_exclusion
AIAAIC,AIAAIC0803,Trelleborg welfare management automation,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/trelleborg-welfare-management-automation Safety; Employment - jobs; Privacy/surveillance  Trelleborg welfare management automation,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,privacy_breach,Auto annotation v0.4 rule-based,unknown,unknown,other,other
AIAAIC,AIAAIC1768,Inaccuracies reveal child protection worker used ChatGPT to draft court report,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/inaccuracies-reveal-child-protection-worker-used-chatgpt-to-draft-report Confidentiality; Privacy/surveillance Confidentiality loss; Privacy loss Inaccuracies reveal child protection worker used ChatGPT to draft court report,essential_services,deployer,llm_decision_support,access_social_protection;privacy_data_protection,privacy_breach;misinformation_error,Auto annotation v0.4 rule-based,essential_services,summary_assistant,privacy_data_protection;access_social_protection;good_administration,misinformation_error;privacy_breach
AIAAIC,AIAAIC1576,"DWP algorithm wrongly flags 200,000 people for possible fraud and error","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-algorithm-wrongly-flags-200000-people-for-possible-fraud Accuracy/reliability  DWP algorithm wrongly flags 200,000 people for possible fraud and error",essential_services,deployer,unknown,access_social_protection;privacy_data_protection,misinformation_error,Auto annotation v0.4 rule-based,unknown,unknown,other,other
AIAAIC,AIAAIC0411,Flawed' UK welfare algorithm 'pushes people into poverty',https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/flawed-uk-welfare-algorithm-pushes-people-into-poverty Fairness; Accuracy/reliability Loss of livelihood  Flawed' UK welfare algorithm 'pushes people into poverty',essential_services,deployer,unknown,access_social_protection;privacy_data_protection,misinformation_error,Auto annotation v0.4 rule-based,essential_services,not_llm,access_social_protection;good_administration;non_discrimination,unfair_exclusion;misinformation_error;procedural_unfairness
AIAAIC,AIAAIC1288,Thomson Reuters Fraud Detect 'incorrectly' identifies fraud,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/thomson-reuters-fraud-detect-incorrectly-identifies-fraud Accountability; Accuracy/reliability; Human/civil rights Financial loss; Privacy loss Thomson Reuters Fraud Detect 'incorrectly' identifies fraud,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration,privacy_breach;misinformation_error,Auto annotation v0.4 rule-based,unknown,unknown,other,other
AIAAIC,AIAAIC1311,Samagra Vedika system pilot deprives citizens of rations ,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/samagra-vedika-system-pilot-deprives-citizens-of-rations Accuracy/reliability; Accountability; Human/civil rights; Transparency Loss of benefits/entitlements Samagra Vedika system pilot deprives citizens of rations,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration,procedural_unfairness,Auto annotation v0.4 rule-based,unknown,unknown,other,other
AIAAIC,AIAAIC053,Arkansas ARChoices Medicaid resource allocation system,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/arkansas-dhs-archoices-rugs-algorithm Accountability; Accuracy/reliability; Bias/discrimination - disability, age; Transparency Care cuts; Financial loss; Health deterioration; Anxiety/distress Arkansas ARChoices Medicaid resource allocation system",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,unknown,unknown,other,other
AIAAIC,AIAAIC0268,PSZ Syriusz unemployment worker profiling,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/poland-psz-unemployment-scoring-algorithm Appropriateness/need; Bias/discrimination - age, gender, disability; Effectiveness/value; Fairness; Privacy/surveillance Discrimination; Privacy loss PSZ Syriusz unemployment worker profiling",essential_services,deployer,llm_assisted_screening,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,unknown,unknown,other,other
AIAAIC,AIAAIC1481,Thai auntie unable to buy food after Poor Card facial recognition failure,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/thai-auntie-unable-to-buy-food-after-poor-card-facial-recognition-failure Accuracy/reliability; Human/civil rights Benefits/entitlements loss Thai auntie unable to buy food after Poor Card facial recognition failure,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,other,Auto annotation v0.4 rule-based,essential_services,not_llm,privacy_data_protection;access_social_protection;good_administration,unfair_exclusion;procedural_unfairness;misinformation_error
AIAAIC,AIAAIC007,Idaho Medicaid disability Resource Allocation Model,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/idaho-medicaid-disability-resource-allocation Accuracy/reliability; Fairness Care cuts; Financial loss Idaho Medicaid disability Resource Allocation Model,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,other,Auto annotation v0.4 rule-based,essential_services,unknown,access_social_protection;non_discrimination;good_administration,unfair_exclusion;misinformation_error
AIAAIC,AIAAIC0415,Roermond 'Sensing Project' predictive policing pilot,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/roermond-sensing-project-predictive-policing Accuracy/reliability; Bias/discrimination; Privacy/surveillance Discrimination Roermond 'Sensing Project' predictive policing pilot,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,essential_services,not_llm,privacy_data_protection;non_discrimination;good_administration,unfair_exclusion;privacy_breach
AIAAIC,AIAAIC0171,New Orleans predictive policing,Privacy/surveillance  New Orleans predictive policing,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,privacy_breach,Auto annotation v0.4 rule-based,essential_services,unknown,privacy_data_protection;non_discrimination;good_administration,privacy_breach;unfair_exclusion
AIAAIC,AIAAIC0652,NYPD Domain Awareness System,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/nypd-domain-awareness-system Privacy; Bias/discrimination - race, ethnicity; Dual/multi-use  NYPD Domain Awareness System",unknown,deployer,unknown,non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,unknown,unknown,other,other
AIAAIC,AIAAIC0260,Knightscope security robot ignores woman reporting crime,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/knightscope-hp-robocop-ignores-woman-reporting-crime Accuracy/reliability; Anthropomorphism; Employment  Knightscope security robot ignores woman reporting crime,employment,deployer,unknown,non_discrimination;privacy_data_protection,other,Auto annotation v0.4 rule-based,unknown,not_llm,good_administration,procedural_unfairness
AIAAIC,AIAAIC1352,lllinois ends 'unreliable' child abuse predictive system,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/lllinois-ends-unreliable-child-abuse-predictive-system Accuracy/reliability; Transparency Physical harm lllinois ends 'unreliable' child abuse predictive system,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration,misinformation_error;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,not_llm,access_social_protection;good_administration;non_discrimination,misinformation_error;procedural_unfairness
AIAAIC,AIAAIC0887,Oregon drops 'unfair' child abuse Safety at Screening tool,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/oregon-dhs-safety-at-screening-tool Accuracy/reliability; Bias/discrimination; Transparency  Oregon drops 'unfair' child abuse Safety at Screening tool,essential_services,deployer,llm_assisted_screening,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,not_llm,non_discrimination;access_social_protection;good_administration,unfair_exclusion;misinformation_error;procedural_unfairness
AIAAIC,AIAAIC0350,"Australia scraps ""robodebt"" welfare debt recovery scheme","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/australia-scraps-robodebt-welfare-debt-recovery-scheme Accuracy/reliability; Fairness; Privacy/surveillance Financial loss; Bankruptcy; House foreclosure; Anxiety/distress; Loss of life; Reputational damage Australia scraps ""robodebt"" welfare debt recovery scheme",essential_services,deployer,unknown,access_social_protection;privacy_data_protection,privacy_breach,Auto annotation v0.4 rule-based,essential_services,not_llm,access_social_protection;good_administration;non_discrimination;privacy_data_protection,unfair_exclusion;procedural_unfairness;misinformation_error;privacy_breach
AIAAIC,AIAAIC0107,Australia Robodebt welfare debt recovery,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/robodebt-welfare-debt-recovery Accuracy/reliability; Fairness; Privacy Financial loss; Bankruptcy; House foreclosure; Anxiety/distress; Loss of life; Reputational damage Australia Robodebt welfare debt recovery,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,privacy_breach,Auto annotation v0.4 rule-based,essential_services,not_llm,access_social_protection;good_administration;non_discrimination;privacy_data_protection,unfair_exclusion;procedural_unfairness;misinformation_error
AIAAIC,AIAAIC1642,Utah online dispute resolution system benefits lenders not litigants,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/utah-dispute-resolution-system-benefits-lenders-not-litigants Fairness  Utah online dispute resolution system benefits lenders not litigants,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,other,Auto annotation v0.4 rule-based,essential_services,unknown,access_social_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness
AIAAIC,AIAAIC1313,Parivar Pehchan Patra algorithm declares living people dead,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/parivar-pehchan-patra-declares-living-people-dead Accountability; Accuracy/reliability; Human/civil rights; Privacy/surveillance Financial loss; Privacy loss Parivar Pehchan Patra algorithm declares living people dead,unknown,deployer,unknown,good_administration,privacy_breach,Auto annotation v0.4 rule-based,unknown,unknown,other,other
