source,source_id,title,description,annex_domain,actor_role,system_pattern,rights,harms,notes
AIAAIC,AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/chinese-hackers-use-anthropic-ai-agent-to-attack-foreign-entities Autonomy; Confidentiality; Dual use; Privacy; Security; Transparency,AnnexIII_4_Employment,Deployer,Unknown,Non_Discrimination;Privacy_DataProtection,Privacy_Breach,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/claude-opus-4-blackmails-supervisor-to-prevent-being-shut-down Autonomy/agency; Alignment,Unknown,Deployer,Unknown,,Other,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC2053,"AI office vending agent incurs losses, runs amok",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/ai-office-vending-agent-incurs-losses-runs-amok Accuracy/reliability; Alignment; Autonomy/agency; Mis/disinformation,Unknown,Deployer,Unknown,,Other,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/deloitte-australia-fined-for-ai-error-strewn-government-report Accuracy/reliability; Mis/disinformation; Transparency,Unknown,Deployer,Unknown,,Other,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC1872,Christopher Gatlin jailed for two years after faulty facial recognition match,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/christopher-gatlin-facial-recognition-wrongful-arrest Accountability; Accuracy/reliability; Human/civil rights; Privacy/surveillance; Transparency,AnnexIII_4_Employment,Deployer,Unknown,Non_Discrimination;Privacy_DataProtection,Privacy_Breach,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC1840,UK welfare fraud AI system criticised as biased and opaque,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-welfare-fraud-ai-system-criticised-as-biased-and-opaque Bias/discrimination; Transparency,AnnexIII_5a_EssentialServices,Deployer,Unknown,Access_Social_Protection;Privacy_DataProtection,Unfair_Exclusion,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC1768,Inaccuracies reveal child protection worker used ChatGPT to draft court report,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/inaccuracies-reveal-child-protection-worker-used-chatgpt-to-draft-report Confidentiality; Privacy/surveillance,Unknown,Deployer,LLM_Decision_Support,,Privacy_Breach,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC1648,"DWP Kickstart ""gateway"" firms with no trading history approved by algorithm",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-kickstart-gateway-firms-with-no-trading-history-approved-by-algorithm Accuracy/reliability; Bias/discrimination,Unknown,Deployer,Unknown,,Unfair_Exclusion,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC1647,"UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism""",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-government-accused-of-covid-19-recovery-funding-cultural-elitism Accuracy/reliability; Bias/discrimination; Transparency,Unknown,Deployer,Unknown,,Unfair_Exclusion,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC1642,Utah online dispute resolution system benefits lenders not litigants,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/utah-dispute-resolution-system-benefits-lenders-not-litigants Fairness,AnnexIII_5a_EssentialServices,Deployer,Unknown,Access_Social_Protection;Privacy_DataProtection,Other,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/chinese-hackers-use-anthropic-ai-agent-to-attack-foreign-entities Autonomy; Confidentiality; Dual use; Privacy; Security; Transparency,AnnexIII_4_Employment,Deployer,Unknown,Non_Discrimination;Privacy_DataProtection,Privacy_Breach,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/claude-opus-4-blackmails-supervisor-to-prevent-being-shut-down Autonomy/agency; Alignment,Unknown,Deployer,Unknown,,Other,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC2053,"AI office vending agent incurs losses, runs amok",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/ai-office-vending-agent-incurs-losses-runs-amok Accuracy/reliability; Alignment; Autonomy/agency; Mis/disinformation,Unknown,Deployer,Unknown,,Other,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC1768,Inaccuracies reveal child protection worker used ChatGPT to draft court report,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/inaccuracies-reveal-child-protection-worker-used-chatgpt-to-draft-report Confidentiality; Privacy/surveillance,Unknown,Deployer,LLM_Decision_Support,,Privacy_Breach,Auto annotation v0.1 (rule-based)
AIAAIC,AIAAIC1023,ChatGPT invented case citations in Avianca court case,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/chatgpt-invented-case-citations-in-legal-filings Accuracy/reliability; Anthropomorphism; Mis/disinformation,AnnexIII_4_Employment,Deployer,LLM_Decision_Support,Non_Discrimination;Privacy_DataProtection,Other,Auto annotation v0.1 (rule-based)
ECtHR,10012/03,CASE OF HALMAGIU AND BELLU v. ROMANIA,Articles: P1 | Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property,AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10108/02,CASE OF TETU v. ROMANIA,Articles: P1 | Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property,AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10122/04,CASE OF GURGACH v. RUSSIA,Articles: P1 | Conclusion: Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10143/07,CASE OF SOCIEDADE AGRICOLA DO AMEIXIAL; S.A v. PORTUGAL,Articles: P1 | Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10230/05,CASE OF SERSESCU v. ROMANIA,Articles: P1 | Conclusion: Violation of Article 6 - Right to a fair trial;Violation of Article 1 of Protocol No. 1 - Protection of property,AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10245/02,CASE OF MOSOIU AND PASARIN v. ROMANIA,Articles: P1 | Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property,AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10250/02,CASE OF ALİ TAŞ v. TURKEY,Articles: P1 | Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property,AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10319/04,CASE OF ANDRIANOVA AND OTHERS  v. UKRAINE,Articles: P1 | Conclusion: Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions);Violation of Article 13 - Right to an effective remedy (Article 13 - Effective remedy),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10346/03;10893/04,CASE OF DICKMANN AND GION v. ROMANIA,Articles: P1 | Conclusion: Preliminary objection dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Deprivation of property;Peaceful enjoyment of possessions);Pecuniary and non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Pecuniary damage;Just satisfaction),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10368/05,CASE OF MIGALSKA v. POLAND,Articles: P1 | Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10441/06,CASE OF PICHKUR v. UKRAINE,Articles: 14 | Conclusion: Preliminary objection dismissed (Article 35-1 - Six month period);Remainder inadmissible;Violation of Article 14+P1-1 - Prohibition of discrimination (Article 14 - Discrimination) (Article 1 of Protocol No. 1 - Protection of property;Article 1 para. 1 of Protocol No. 1 - Possessions);Pecuniary and non-pecuniary damage - award,AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,1046/12,CASE OF ZAMMIT AND ATTARD CASSAR v. MALTA,Articles: P1 | Conclusion: Remainder inadmissible;Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 2 of Protocol No. 1 - Control of the use of property);Pecuniary damage - award (Article 41 - Pecuniary damage;Just satisfaction),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10535/09,CASE OF INDERKINY v. RUSSIA,Articles: P1 | Conclusion: Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 13+6 - Right to an effective remedy (Article 13 - Effective remedy) (Article 6 - Right to a fair trial;Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10543/02,CASE OF VACARENCU v. MOLDOVA,Articles: P1 | Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property;Violation of Article 6 - Right to a fair trial,AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10557/03,CASE OF GIGLI COSTRUZIONI S.R.L. v. ITALY,Articles: P1 | Conclusion: Violation of Article 6 - Right to a fair trial;Violation of Article 1 of Protocol No. 1 - Protection of property,AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10613/16,CASE OF SHARXHI AND OTHERS v. ALBANIA,Articles: P1 | Conclusion: Preliminary objections joined to merits and dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;(Art. 35-1) Effective domestic remedy;Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;Violation of Article 13+6-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 6-1 - Access to court;Fair hearing;Article 6 - Administrative proceedings;Right to a fair trial);Violation of Article 6 - Right to a fair trial (Article 6 - Administrative proceedings;Article 6-1 - Access to court;Fair hearing);Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for home);Violation of Article 13+8 - Right to an effective remedy (Article 13 - Effective remedy) (Article 8-2 - Interference;In accordance with the law;Article 8-1 - Respect for home;Article 8 - Right to respect for private and family life);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions);Violation of Article 13+P1-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions;Prescribed by law;Interference;Article 1 of Protocol No. 1 - Protection of property);Violation of Article 13+P1-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions;Interference;Article 1 of Protocol No. 1 - Protection of property);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Deprivation of property;Peaceful enjoyment of possessions);Pecuniary and non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Pecuniary damage;Just satisfaction),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,1065/06,CASE OF ELLIS v. TURKEY,Articles: P1 | Conclusion: Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10652/02;12373/06;13553/06;21532/05;23003/06;23446/06;25473/06;28978/06;29693/06;29698/06;29699/06;29704/06;37211/05;6723/06,CASE OF COLLARILE AND OTHERS v. ITALY,Articles: P1 | Conclusion: Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life);Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for correspondence);Violation of Article 13 - Right to an effective remedy (Article 13 - Effective remedy);Violation of Article 3 of Protocol No. 1 - Right to free elections-{general} (Article 3 of Protocol No. 1 - Stand for election;Vote);Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Reasonable time),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10699/05,CASE OF PAULIK v. SLOVAKIA,Articles: 14 | Conclusion: Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life);Violation of Article 14+8 - Prohibition of discrimination (Article 14 - Discrimination) (Article 8 - Right to respect for private and family life;Article 8-1 - Respect for private life);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
ECtHR,10721/02,CASE OF HARRISON v. THE UNITED KINGDOM,Articles: 14 | Conclusion: Violation of Article 14+P1-1 - Prohibition of discrimination (Article 1 of Protocol No. 1 - Protection of property),AnnexIII_5a_EssentialServices,Deployer,Not_LLM,Non_Discrimination;Access_Social_Protection,Procedural_Unfairness,ECtHR rights backbone
